"DateTime","Sensor_id","Vendor","SensorModel","LAT","LONG","Zone","NoiseLevel_db","AlertTriggered","SensorStatus"
21-04-26 00:03:04,"63e0b0eae3495a39","ATT","AQM-01-00-01-00-01-00-GY",29.51007,-98.580288,"Medical Center",57,"None","Normal"
21-04-26 00:13:07,"63e0b0eae3495a39","ATT","AQM-01-00-01-00-01-00-GY",29.51007,-98.580288,"Medical Center",55,"None","Normal"
21-04-26 00:23:09,"63e0b0eae3495a39","ATT","AQM-01-00-01-00-01-00-GY",29.51007,-98.580288,"Medical Center",67,"None","Normal"
21-04-26 00:33:10,"63e0b0eae3495a39","ATT","AQM-01-00-01-00-01-00-GY",29.51007,-98.580288,"Medical Center",58,"None","Normal"
21-04-26 00:43:13,"63e0b0eae3495a39","ATT","AQM-01-00-01-00-01-00-GY",29.51007,-98.580288,"Medical Center",72,"None","Normal"
21-04-26 00:53:17,"63e0b0eae3495a39","ATT","AQM-01-00-01-00-01-00-GY",29.51007,-98.580288,"Medical Center",60,"None","Normal"
21-04-26 01:03:19,"63e0b0eae3495a39","ATT","AQM-01-00-01-00-01-00-GY",29.51007,-98.580288,"Medical Center",63,"None","Normal"
21-04-26 01:13:20,"63e0b0eae3495a39","ATT","AQM-01-00-01-00-01-00-GY",29.51007,-98.580288,"Medical Center",66,"None","Normal"
21-04-26 01:23:20,"63e0b0eae3495a39","ATT","AQM-01-00-01-00-01-00-GY",29.51007,-98.580288,"Medical Center",67,"None","Normal"
21-04-26 01:33:21,"63e0b0eae3495a39","ATT","AQM-01-00-01-00-01-00-GY",29.51007,-98.580288,"Medical Center",63,"None","Normal"
21-04-26 01:43:21,"63e0b0eae3495a39","ATT","AQM-01-00-01-00-01-00-GY",29.51007,-98.580288,"Medical Center",65,"None","Normal"
21-04-26 01:52:23,"63e0b0eae3495a39","ATT","AQM-01-00-01-00-01-00-GY",29.51007,-98.580288,"Medical Center",62,"None","Normal"
21-04-26 02:02:24,"63e0b0eae3495a39","ATT","AQM-01-00-01-00-01-00-GY",29.51007,-98.580288,"Medical Center",69,"None","Normal"
21-04-26 02:12:24,"63e0b0eae3495a39","ATT","AQM-01-00-01-00-01-00-GY",29.51007,-98.580288,"Medical Center",66,"None","Normal"
21-04-26 02:12:24,"63e0b0eae3495a39","ATT","AQM-01-00-01-00-01-00-GY",29.51007,-98.580288,"Medical Center",66,"None","Normal"
21-04-26 02:22:24,"63e0b0eae3495a39","ATT","AQM-01-00-01-00-01-00-GY",29.51007,-98.580288,"Medical Center",66,"None","Normal"
21-04-26 02:32:25,"63e0b0eae3495a39","ATT","AQM-01-00-01-00-01-00-GY",29.51007,-98.580288,"Medical Center",79,"None","Normal"
21-04-26 02:42:25,"63e0b0eae3495a39","ATT","AQM-01-00-01-00-01-00-GY",29.51007,-98.580288,"Medical Center",65,"None","Normal"
21-04-26 02:52:25,"63e0b0eae3495a39","ATT","AQM-01-00-01-00-01-00-GY",29.51007,-98.580288,"Medical Center",73,"None","Normal"
21-04-26 03:02:30,"63e0b0eae3495a39","ATT","AQM-01-00-01-00-01-00-GY",29.51007,-98.580288,"Medical Center",67,"None","Normal"
21-04-26 03:12:30,"63e0b0eae3495a39","ATT","AQM-01-00-01-00-01-00-GY",29.51007,-98.580288,"Medical Center",73,"None","Normal"
21-04-26 03:22:31,"63e0b0eae3495a39","ATT","AQM-01-00-01-00-01-00-GY",29.51007,-98.580288,"Medical Center",66,"None","Normal"
21-04-26 03:32:32,"63e0b0eae3495a39","ATT","AQM-01-00-01-00-01-00-GY",29.51007,-98.580288,"Medical Center",60,"None","Normal"
21-04-26 03:42:35,"63e0b0eae3495a39","ATT","AQM-01-00-01-00-01-00-GY",29.51007,-98.580288,"Medical Center",74,"None","Normal"
21-04-26 03:52:39,"63e0b0eae3495a39","ATT","AQM-01-00-01-00-01-00-GY",29.51007,-98.580288,"Medical Center",74,"None","Normal"
21-04-26 04:02:42,"63e0b0eae3495a39","ATT","AQM-01-00-01-00-01-00-GY",29.51007,-98.580288,"Medical Center",67,"None","Normal"
21-04-26 04:12:47,"63e0b0eae3495a39","ATT","AQM-01-00-01-00-01-00-GY",29.51007,-98.580288,"Medical Center",62,"None","Normal"
21-04-26 04:22:50,"63e0b0eae3495a39","ATT","AQM-01-00-01-00-01-00-GY",29.51007,-98.580288,"Medical Center",67,"None","Normal"
21-04-26 04:32:55,"63e0b0eae3495a39","ATT","AQM-01-00-01-00-01-00-GY",29.51007,-98.580288,"Medical Center",68,"None","Normal"
21-04-26 04:42:58,"63e0b0eae3495a39","ATT","AQM-01-00-01-00-01-00-GY",29.51007,-98.580288,"Medical Center",70,"None","Normal"
